latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-36.49002,-72.69238,327.3,0.38,0.36,2026-01-14,0552,N20,VIIRS,n,2.0NRT,285.94,3.62,N
-36.49068,-72.68807,312.33,0.38,0.36,2026-01-14,0552,N20,VIIRS,n,2.0NRT,284.37,3.62,N
-36.59979,-72.61855,310.71,0.39,0.36,2026-01-14,0552,N20,VIIRS,n,2.0NRT,290.77,17.05,N
-36.60246,-72.62368,333.18,0.39,0.36,2026-01-14,0552,N20,VIIRS,n,2.0NRT,305.01,42.6,N
-36.60312,-72.61934,322.67,0.39,0.36,2026-01-14,0552,N20,VIIRS,n,2.0NRT,308.36,17.05,N
-36.60378,-72.615,301.47,0.39,0.36,2026-01-14,0552,N20,VIIRS,n,2.0NRT,290.23,17.05,N
-36.60578,-72.62447,342.56,0.39,0.36,2026-01-14,0552,N20,VIIRS,n,2.0NRT,301.4,35.82,N
-36.60644,-72.62013,367,0.39,0.36,2026-01-14,0552,N20,VIIRS,h,2.0NRT,338.22,111.55,N
-36.60511,-72.62882,300.95,0.39,0.36,2026-01-14,0552,N20,VIIRS,n,2.0NRT,290.43,35.82,N
-36.6091,-72.62527,339.14,0.39,0.36,2026-01-14,0552,N20,VIIRS,n,2.0NRT,303.68,35.82,N
-36.60976,-72.62094,367,0.39,0.36,2026-01-14,0552,N20,VIIRS,h,2.0NRT,356.06,111.55,N
-36.61043,-72.6166,348.09,0.39,0.36,2026-01-14,0552,N20,VIIRS,n,2.0NRT,308.14,111.55,N
-36.61109,-72.61225,309.75,0.39,0.36,2026-01-14,0552,N20,VIIRS,n,2.0NRT,290.63,2.94,N
-36.61242,-72.62607,335.01,0.39,0.36,2026-01-14,0552,N20,VIIRS,n,2.0NRT,291.95,98.22,N
-36.61309,-72.62174,367,0.39,0.36,2026-01-14,0552,N20,VIIRS,h,2.0NRT,343.15,55.2,N
-36.61375,-72.61739,328.07,0.39,0.36,2026-01-14,0552,N20,VIIRS,n,2.0NRT,292.19,55.2,N
-36.61441,-72.61304,323.96,0.39,0.36,2026-01-14,0552,N20,VIIRS,n,2.0NRT,293.81,11.57,N
-36.61507,-72.60872,299.37,0.39,0.36,2026-01-14,0552,N20,VIIRS,n,2.0NRT,288.59,11.57,N
-36.61774,-72.61384,346.48,0.39,0.36,2026-01-14,0552,N20,VIIRS,n,2.0NRT,304.31,11.57,N
-36.61641,-72.62252,304.27,0.39,0.36,2026-01-14,0552,N20,VIIRS,n,2.0NRT,288.73,55.2,N
-36.61707,-72.61818,310.16,0.39,0.36,2026-01-14,0552,N20,VIIRS,n,2.0NRT,289,55.2,N
-36.61067,-72.61273,336.97,0.45,0.47,2026-01-14,1813,N20,VIIRS,n,2.0NRT,303.03,6.77,D
-36.60634,-72.61347,355.46,0.45,0.47,2026-01-14,1813,N20,VIIRS,n,2.0NRT,302.36,11.07,D
-36.60675,-72.61815,345.95,0.45,0.47,2026-01-14,1813,N20,VIIRS,n,2.0NRT,303.7,11.21,D
-36.60717,-72.62288,331.16,0.45,0.47,2026-01-14,1813,N20,VIIRS,l,2.0NRT,302.32,11.21,D
-36.602,-72.61414,344.66,0.45,0.47,2026-01-14,1813,N20,VIIRS,n,2.0NRT,301.14,11.07,D
-36.60242,-72.61885,353.53,0.45,0.47,2026-01-14,1813,N20,VIIRS,n,2.0NRT,306.13,11.21,D
-36.60284,-72.62358,350.5,0.45,0.47,2026-01-14,1813,N20,VIIRS,n,2.0NRT,305.48,11.21,D
-36.60325,-72.62821,356.48,0.45,0.47,2026-01-14,1813,N20,VIIRS,n,2.0NRT,304.48,21.23,D
-36.60366,-72.63283,351.86,0.45,0.47,2026-01-14,1813,N20,VIIRS,n,2.0NRT,309.31,21.23,D
-36.59807,-72.61938,367,0.45,0.47,2026-01-14,1813,N20,VIIRS,h,2.0NRT,328.38,70.79,D
-36.59765,-72.6147,347.86,0.45,0.47,2026-01-14,1813,N20,VIIRS,n,2.0NRT,305.59,55.42,D
-36.59849,-72.62414,352.48,0.45,0.47,2026-01-14,1813,N20,VIIRS,n,2.0NRT,304.45,70.79,D
-36.5989,-72.62886,344.96,0.45,0.47,2026-01-14,1813,N20,VIIRS,n,2.0NRT,307.09,24.28,D
-36.59932,-72.63355,353.99,0.45,0.47,2026-01-14,1813,N20,VIIRS,n,2.0NRT,305.96,24.28,D
-36.5933,-72.61526,351.81,0.45,0.47,2026-01-14,1813,N20,VIIRS,n,2.0NRT,303.89,55.42,D
-36.59373,-72.62,352.33,0.45,0.47,2026-01-14,1813,N20,VIIRS,n,2.0NRT,313.93,70.79,D
-36.59457,-72.62959,351.42,0.45,0.47,2026-01-14,1813,N20,VIIRS,n,2.0NRT,308.5,24.28,D
-36.59499,-72.63434,339.17,0.45,0.47,2026-01-14,1813,N20,VIIRS,n,2.0NRT,313.37,24.28,D
-36.60538,-72.61208,339.55,0.45,0.47,2026-01-14,1813,N20,VIIRS,n,2.0NRT,299.37,13.68,D
-36.60584,-72.61694,351.37,0.45,0.47,2026-01-14,1813,N20,VIIRS,n,2.0NRT,305.19,34.01,D
-36.60628,-72.62162,340.59,0.45,0.47,2026-01-14,1813,N20,VIIRS,n,2.0NRT,302.52,34.01,D
-36.60194,-72.62227,367,0.45,0.47,2026-01-14,1813,N20,VIIRS,h,2.0NRT,305.03,34.01,D
-36.60104,-72.61269,340.52,0.45,0.47,2026-01-14,1813,N20,VIIRS,n,2.0NRT,299.01,13.68,D
-36.60238,-72.62688,354.24,0.45,0.47,2026-01-14,1813,N20,VIIRS,n,2.0NRT,306.41,29.14,D
-36.60281,-72.63148,351.45,0.45,0.47,2026-01-14,1813,N20,VIIRS,n,2.0NRT,311.59,29.14,D
-36.6015,-72.61752,318.35,0.45,0.47,2026-01-14,1813,N20,VIIRS,l,2.0NRT,320.06,34.01,D
-36.5967,-72.61327,339.93,0.45,0.47,2026-01-14,1813,N20,VIIRS,n,2.0NRT,296.34,14.29,D
-36.59759,-72.62277,352.9,0.45,0.47,2026-01-14,1813,N20,VIIRS,n,2.0NRT,305.6,97.18,D
-36.59803,-72.62749,343.74,0.45,0.47,2026-01-14,1813,N20,VIIRS,n,2.0NRT,306.53,41.48,D
-36.59847,-72.63219,350.88,0.45,0.47,2026-01-14,1813,N20,VIIRS,n,2.0NRT,306.84,41.48,D
-36.59892,-72.63692,335.59,0.45,0.47,2026-01-14,1813,N20,VIIRS,n,2.0NRT,298.6,62.67,D
-36.59325,-72.6234,367,0.45,0.47,2026-01-14,1813,N20,VIIRS,h,2.0NRT,341.25,97.18,D
-36.59459,-72.6377,367,0.45,0.47,2026-01-14,1813,N20,VIIRS,h,2.0NRT,328.03,62.67,D
-36.59235,-72.61382,341.54,0.45,0.47,2026-01-14,1813,N20,VIIRS,n,2.0NRT,300.26,14.29,D
