latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-36.5855,-72.6293,367,0.36,0.57,2026-01-14,1932,N,VIIRS,h,2.0NRT,298.58,39.02,D
-36.58333,-72.62096,354.89,0.36,0.57,2026-01-14,1932,N,VIIRS,n,2.0NRT,303.09,41.6,D
-36.5844,-72.62508,354.54,0.36,0.57,2026-01-14,1932,N,VIIRS,n,2.0NRT,304.6,41.6,D
-36.58673,-72.63403,353.33,0.36,0.57,2026-01-14,1932,N,VIIRS,n,2.0NRT,301.36,39.02,D
-36.58795,-72.63874,339,0.36,0.57,2026-01-14,1932,N,VIIRS,n,2.0NRT,297.42,48.68,D
-36.59879,-72.61456,355.58,0.36,0.57,2026-01-14,1932,N,VIIRS,n,2.0NRT,312.35,28.93,D
-36.60505,-72.61672,352.37,0.36,0.57,2026-01-14,1932,N,VIIRS,n,2.0NRT,300.82,31.72,D
-36.60392,-72.61234,208,0.36,0.57,2026-01-14,1932,N,VIIRS,l,2.0NRT,324.13,31.72,D
-36.59768,-72.61026,367,0.36,0.57,2026-01-14,1932,N,VIIRS,h,2.0NRT,303.6,32.87,D
-36.60233,-72.62823,367,0.36,0.57,2026-01-14,1932,N,VIIRS,h,2.0NRT,298.04,7.34,D
-36.58869,-72.62044,299.6,0.63,0.54,2026-01-15,0512,N,VIIRS,n,2.0NRT,283.6,3.56,N
-36.59197,-72.60739,310.97,0.63,0.54,2026-01-15,0512,N,VIIRS,n,2.0NRT,284.29,4.49,N
-36.58913,-72.64019,328.12,0.32,0.54,2026-01-15,0512,N,VIIRS,n,2.0NRT,284.5,1.91,N
-36.58824,-72.64375,310.04,0.32,0.54,2026-01-15,0512,N,VIIRS,n,2.0NRT,280.25,1.91,N
-36.59415,-72.64172,341.69,0.32,0.54,2026-01-15,0512,N,VIIRS,n,2.0NRT,285.71,2.83,N
-36.59539,-72.63676,310.56,0.64,0.54,2026-01-15,0512,N,VIIRS,n,2.0NRT,281.74,3.35,N
-36.6106,-72.58896,312.27,0.63,0.54,2026-01-15,0512,N,VIIRS,n,2.0NRT,280.49,2.67,N
-36.60189,-72.61086,302.21,0.63,0.54,2026-01-15,0512,N,VIIRS,n,2.0NRT,283.89,2.99,N
-36.6056,-72.596,299.15,0.63,0.54,2026-01-15,0512,N,VIIRS,n,2.0NRT,283.55,2.48,N
-36.60754,-72.58823,308.48,0.63,0.54,2026-01-15,0512,N,VIIRS,n,2.0NRT,281.05,2.48,N
-36.59916,-72.64334,295.62,0.32,0.54,2026-01-15,0512,N,VIIRS,n,2.0NRT,279.46,2.83,N
-36.59647,-72.644,306.06,0.64,0.54,2026-01-15,0512,N,VIIRS,n,2.0NRT,281.47,1.28,N
-36.59817,-72.6374,296.99,0.64,0.54,2026-01-15,0512,N,VIIRS,n,2.0NRT,281.23,1.28,N
-36.60475,-72.61177,298.58,0.63,0.54,2026-01-15,0512,N,VIIRS,n,2.0NRT,282.44,2.78,N
-36.58194,-72.62581,328.94,0.64,0.54,2026-01-15,0512,N,VIIRS,n,2.0NRT,282.48,6.76,N
-36.58369,-72.61883,318.53,0.63,0.54,2026-01-15,0512,N,VIIRS,n,2.0NRT,282.54,3.97,N
-36.58406,-72.63884,321.23,0.32,0.54,2026-01-15,0512,N,VIIRS,n,2.0NRT,283.11,1.91,N
-36.58532,-72.63387,297.14,0.64,0.54,2026-01-15,0512,N,VIIRS,n,2.0NRT,280.37,2.26,N
-36.58695,-72.62736,307.96,0.64,0.54,2026-01-15,0512,N,VIIRS,n,2.0NRT,281.24,2.26,N
-36.74528,-72.26772,339.12,0.42,0.45,2026-01-15,1914,N,VIIRS,n,2.0NRT,307.72,3.02,D
-36.61231,-72.58782,331.04,0.41,0.45,2026-01-15,1914,N,VIIRS,n,2.0NRT,300.98,1.47,D
-36.61419,-72.59655,356.53,0.41,0.45,2026-01-15,1914,N,VIIRS,n,2.0NRT,309.96,44.88,D
-36.61509,-72.60076,335.34,0.41,0.45,2026-01-15,1914,N,VIIRS,n,2.0NRT,298.25,8.91,D
-36.61805,-72.61449,331.22,0.41,0.45,2026-01-15,1914,N,VIIRS,l,2.0NRT,302.59,2.87,D
-36.61909,-72.61937,341.18,0.41,0.45,2026-01-15,1914,N,VIIRS,n,2.0NRT,303.15,2.39,D
-36.60791,-72.62836,367,0.41,0.45,2026-01-15,1914,N,VIIRS,h,2.0NRT,304,43.05,D
